youtube_url,playlist,niche,sub_niche
https://www.youtube.com/watch?v=itrRkKoyPig,Q & A Ustadz Yosi Al Muzaniy,Religion,Dakwah
https://www.youtube.com/watch?v=ihmkp7fX22Y,Q & A Ustadz Yosi Al Muzaniy,Religion,Dakwah
https://www.youtube.com/watch?v=Htw7KA6duec,Q & A Ustadz Yosi Al Muzaniy,Beauty,Skincare
https://www.youtube.com/watch?v=TP90UCsEeJY,Q & A Ustadz Yosi Al Muzaniy,Religion,Dakwah
https://www.youtube.com/watch?v=cbgbeRxPqNI,Q & A Ustadz Yosi Al Muzaniy,Religion,Dakwah
https://www.youtube.com/watch?v=crLsnxvqAcY,Q & A Ustadz Yosi Al Muzaniy,Religion,Dakwah
https://www.youtube.com/watch?v=EQOmIMaaE1M,Q & A Ustadz Yosi Al Muzaniy,Religion,Dakwah
https://www.youtube.com/watch?v=W5ovnVAyHec,Q & A Ustadz Yosi Al Muzaniy,Religion,Dakwah
