youtube_url,playlist,niche,sub_niche
https://www.youtube.com/watch?v=h3Zu4zgnXks,Ada Story dibalik Ngopi,Uncategorized,General
https://www.youtube.com/watch?v=VxQLIU6PTy8,Ada Story dibalik Ngopi,Religion,Dakwah
https://www.youtube.com/watch?v=U7h2JMgNpfo,Ada Story dibalik Ngopi,Religion,Dakwah
https://www.youtube.com/watch?v=T0e70oQjOJM,Ada Story dibalik Ngopi,Religion,Dakwah
https://www.youtube.com/watch?v=whTpkVl4v_Q,Ada Story dibalik Ngopi,Uncategorized,General
https://www.youtube.com/watch?v=O5o3rFQNyqY,Ada Story dibalik Ngopi,Uncategorized,General
https://www.youtube.com/watch?v=Jw6kE0KK5A0,Ada Story dibalik Ngopi,Religion,Motivasi Islami
