niche,sub_niche,pembahasan,title,youtube_url,playlist
Religion,Dakwah,MAJELIS SUBUH KAYEN - TADABBUR KISAH AL QUR'AN BERSAMA HABIB JA'FAR AL JUFRI,MAJELIS SUBUH KAYEN EPS.9 - TADABBUR KISAH AL QUR'AN BERSAMA HABIB JA'FAR AL JUFRI,https://www.youtube.com/watch?v=Kq9Iqq1PveY,MAEJLIS SUBUH KAYEN
Religion,Dakwah,MAJELIS SUBUH KAYEN - 4 MACAM FITNAH bersama Habib Ja'far Al Jufri,MAJELIS SUBUH KAYEN - 4 MACAM FITNAH bersama Habib Ja'far Al Jufri,https://www.youtube.com/watch?v=vaEYk9KoKsQ,MAEJLIS SUBUH KAYEN
Religion,Akhlak,MAJELIS SUBUH KAYEN - TADABBUR KISAH AL-QUR'AN,MAJELIS SUBUH KAYEN - TADABBUR KISAH AL-QUR'AN,https://www.youtube.com/watch?v=G6Q2VVk_q7s,MAEJLIS SUBUH KAYEN
,,,,,
Religion,Dakwah,MENARIK !! QnA SEPUTAR PUASA - BERSAMA HABIB ARIEF ASSHOFI,MENARIK !! QnA SEPUTAR PUASA - BERSAMA HABIB ARIEF ASSHOFI,https://www.youtube.com/watch?v=Z-soaCCKPL0,MENARIK !! QnA SEPUTAR PUASA - BERSAMA HABIB ARIEF ASSHOFI
,,,,,
Religion,Dakwah,MENGUATKAN SEMANGAT ANAK MUDA || Islamic Center NTB,MENGUATKAN SEMANGAT ANAK MUDA || Islamic Center NTB || Ustadz Ja'far Al Jufri,https://www.youtube.com/watch?v=FPxcxLArkrU,MENGUATKAN SEMANGAT ANAK MUDA || Islamic Center NTB || Ustadz Ja'far Al Jufri
,,,,,
Religion,Dakwah,MIRIS !! BANYAK ORANG DULUNYA AKTIVIS DAKWAH KAMPUS TAPI SETELAH LULUS KEHILANGAN TARINGNYA,MIRIS !! BANYAK ORANG DULUNYA AKTIVIS DAKWAH KAMPUS TAPI SETELAH LULUS KEHILANGAN TARINGNYA,https://www.youtube.com/watch?v=8MmjWKxmMxo,MIRIS !! BANYAK ORANG DULUNYA AKTIVIS DAKWAH KAMPUS TAPI SETELAH LULUS KEHILANGAN TARINGNYA
,,,,,
Religion,Dakwah,MURID HABIB UMAR BIN HAFIDZ DAN KISAH PERJUANGAN DAKWAH DI TANAH AMBON,MURID HABIB UMAR BIN HAFIDZ DAN KISAH PERJUANGAN DAKWAH DI TANAH AMBON | Habib Rifqi Al Hamid Ambon,https://www.youtube.com/watch?v=buCafz0E-bk,MURID HABIB UMAR BIN HAFIDZ DAN KISAH PERJUANGAN DAKWAH DI TANAH AMBON | Habib Rifqi Al Hamid Ambon
,,,,,
Religion,Dakwah,PENGORBANAN KELUARGA IBRAHIM,PENGORBANAN KELUARGA IBRAHIM  Episode 2 || Habib Ja'far Al Jufri,https://www.youtube.com/watch?v=SQ4UzeVP9mQ,PENGORBANAN KELUARGA IBRAHIM  Episode 2 || Habib Ja'far Al Jufri
,,,,,
Religion,Dakwah,NABI MUSA BERGURU KEPADA NABI KHIDIR || Qur'anic Stories Series,NABI MUSA BERGURU KEPADA NABI KHIDIR || Qur'anic Stories Series || Ustadz Ja'far Al Jufri,https://www.youtube.com/watch?v=i7eVtnUQjn4,PODCAST TADABBUR KISAH QUR'AN
Self Improvement,Mindset,Mindset Seorang Pembelajar  || Podcast Pengantar Tadabbur Kisah Qur'an,Mindset Seorang Pembelajar  || Podcast Pengantar Tadabbur Kisah Qur'an | Ustadz Ja'far Al Jufri,https://www.youtube.com/watch?v=vNF5M60kq8k,PODCAST TADABBUR KISAH QUR'AN
Uncategorized,General,RAHASIA DIBALIK QS. QURAYSY,RAHASIA DIBALIK QS. QURAYSY part 2 || Ust. Jafar Al Jufri & Bapak Iwan Kurniawan,https://www.youtube.com/watch?v=mk88kOaDQ38,PODCAST TADABBUR KISAH QUR'AN
Uncategorized,General,RAHASIA DIBALIK QS. AL-QURAYSY,RAHASIA DIBALIK QS. AL-QURAYSY || Ust. Jafar Al Jufri & Bapak Iwan Kurniawan,https://www.youtube.com/watch?v=uq790fTxP8o,PODCAST TADABBUR KISAH QUR'AN
,,,,,
Uncategorized,General,PODCAST WITH GUS AHMAD KAFABIHI LIRBOYO - DON'T JUST BE A DISPLAY ON THE QUR'AN!!,PODCAST WITH GUS AHMAD KAFABIHI LIRBOYO - DON'T JUST BE A DISPLAY ON THE QUR'AN!!,https://www.youtube.com/watch?v=W_JrcbG_iPM,PODCAST WITH GUS AHMAD KAFABIHI LIRBOYO - DON'T JUST BE A DISPLAY ON THE QUR'AN!!
,,,,,
Religion,Dakwah,TERNYATA BANYAK YANG BELUM TAU ILMU INI !! HABIB HABIBI AL ATHAS KUPAS TUNTAS ILMU PUASA RAMADHAN,TERNYATA BANYAK YANG BELUM TAU ILMU INI !! HABIB HABIBI AL ATHAS KUPAS TUNTAS ILMU PUASA RAMADHAN,https://www.youtube.com/watch?v=kbpKsKkj5og,Podcast Habib
Religion,Dakwah,MISUNDERSTANDING TASAWWUF! Habib Habibi Al-Athas,MISUNDERSTANDING TASAWWUF! Habib Habibi Al-Athas,https://www.youtube.com/watch?v=pWCsaAgFREk,Podcast Habib
Religion,Dakwah,A CHILD'S LIFE DEPENDS ON HIS PARENTS' WAY OF THINKING! Habib Arif As-Shofi,A CHILD'S LIFE DEPENDS ON HIS PARENTS' WAY OF THINKING! Habib Arif As-Shofi,https://www.youtube.com/watch?v=mvCuVxtqsOI,Podcast Habib
Religion,Dakwah,HIDUP KOK STANDARNYA TIKTOK !! - NGOBROL BARENG HABIB JAFAR AL JUFRI,HIDUP KOK STANDARNYA TIKTOK !! - NGOBROL BARENG HABIB JAFAR AL JUFRI,https://www.youtube.com/watch?v=XceVMFG7ryU,Podcast Habib
Religion,Dakwah,HEART MATTERS IN THE HOLY MONTH - WELCOMING RAMADAN WITH HABIB HABIBI AL ATTAS,HEART MATTERS IN THE HOLY MONTH - WELCOMING RAMADAN WITH HABIB HABIBI AL ATTAS,https://www.youtube.com/watch?v=8CuwwoSZtyk,Podcast Habib
Religion,Dakwah,BUKAN SEPERTI INI CARA BANTU GAZA !!!,BUKAN SEPERTI INI CARA BANTU GAZA !!! - Habib Ja'far Al Jufri & Ustadz Husein Gaza,https://www.youtube.com/watch?v=JiPC04rhGF4,Podcast Habib
,,,,,
Religion,Dakwah,Abdullah bin Abbas | Sahabat Yang Suka Hunting Kisah Israiliat,Abdullah bin Abbas | Sahabat Yang Suka Hunting Kisah Israiliat || Ustadz Ja'far Al Jufri,https://www.youtube.com/watch?v=Xt4Pc6PeBO0,Potongan VIDEO
Religion,Dakwah,Fungsi Kisah Yang Allah Ceritakan Dalam Al-Qur'an,Fungsi Kisah Yang Allah Ceritakan Dalam Al-Qur'an || Ustadz Ja'far Al Jufri,https://www.youtube.com/watch?v=4koPV5x_CCc,Potongan VIDEO
,,,,,
